Description,Employer,Language,Location,Multiple,State,Translation,Category
Full Stack Developer,Frontify AG,,CH 9000 St. Gallen,N,Sankt Gallen,Full Stack Developer,IT
Gesucht IT Talente,SEP IT AG,,CH 9000 St. Gallen,N,Sankt Gallen,Wanted IT talent,IT
Interface Designer,Frontify AG,,CH 9000 St. Gallen,N,Sankt Gallen,interface Designer,IT
Security System Engineer (100%),Ceruno AG,,CH 9000 St. Gallen,N,Sankt Gallen,Security System Engineer (100%),IT
Software Developer (PHP),Frontify AG,,CH 9000 St. Gallen,N,Sankt Gallen,Software Developer (PHP),IT
UX Designer,Frontify AG,,CH 9000 St. Gallen,N,Sankt Gallen,UX Designer,IT
Applikationsentwickler/-in ASP.NET(C#/VB.NET),,,CH 9004 St. Gallen,N,Sankt Gallen,Application developers / -in ASP.NET (C # / VB.NET),IT
Entwickler/Webpublisher/in,Klang und Kleid GmbH,,CH 9004 St. Gallen,N,Sankt Gallen,Developer / web publisher / in,IT
"Mitarbeiter im Bereich Elektro CAD, SPS Programmierung und .NET C#",Insoft Systems AG,,CH 9006 St. Gallen,N,Sankt Gallen,"Employees in the electrical CAD, PLC programming and .NET C #",IT
PhD Position Machine Learning for Data Management,CDQ AG,,CH 9008 St. Gallen,N,Sankt Gallen,PhD position Machine Learning for Data Management,IT
Software Engineer 100%,Grossenbacher Systeme AG,,CH 9008 St. Gallen,N,Sankt Gallen,Software Engineer 100%,IT
Supporter/in Multimedia (max. 5%),Gewerbliches Berufs- und Weiterbildungszentrum St.Gallen,,CH 9012 St. Gallen,N,Sankt Gallen,Supporter / in Multimedia (max. 5%),IT
C++ Entwickler für Big Data & Web Backend Lösungen,,,CH 9014 St. Gallen,N,Sankt Gallen,C ++ developer for Big Data & Web back-end solutions,IT
Entwicklungsingenieur Elektronik / Mikroelektroniker für Drohnenentwicklung,,,CH 9014 St. Gallen,N,Sankt Gallen,Design Engineer Electronics / microelectronics engineers for drone development,IT
Frontend-Entwickler/in (80 - 100 %),,,CH 9014 St. Gallen,N,Sankt Gallen,Front End Developer / in (80 - 100%),IT
IT Spezialist,,,CH 9014 St. Gallen,N,Sankt Gallen,IT-specialist,IT
Lehrstelle als Informatiker/in EFZ,,,CH 9014 St. Gallen,N,Sankt Gallen,Apprenticeship as / in EFZ,IT
Praktikant/in Mediamatiker (80 - 100 %),,,CH 9014 St. Gallen,N,Sankt Gallen,Intern / in Mediamatiker (80 - 100%),IT
Praktikum in der meteorologischen Softwareentwicklung,,,CH 9014 St. Gallen,N,Sankt Gallen,Internship at the meteorological software development,IT
Web Entwickler für Wetter Visualisierungen,,,CH 9014 St. Gallen,N,Sankt Gallen,Web developer for weather visualizations,IT
Application Engineer Publishing-Systeme (m/w),Topix AG,,CH 9015 St. Gallen,N,Sankt Gallen,Application Engineer publishing systems (m / f),IT
Java Senior Software Engineer 100% - Wallisellen,Adcubum AG,,CH 9015 St. Gallen,N,Sankt Gallen,Java Senior Software Engineer 100% - Wallisellen,IT
Java Senior Software Engineer 80-100% - St. Gallen,Adcubum AG,,CH 9015 St. Gallen,N,Sankt Gallen,Java Senior Software Engineer 80-100% - St. Gallen,IT
Lehrstelle als Informatiker/in,,,CH 9015 St. Gallen,N,Sankt Gallen,Apprenticeship as / in,IT
Senior Software Engineer 100% - Zagreb,Adcubum AG,,CH 9015 St. Gallen,N,Sankt Gallen,Senior Software Engineer 100% - Zagreb,IT
Software / Data-Engineer Schnittstellen- und Reports (100% / m/w),Complementa AG,,CH 9015 St. Gallen,N,Sankt Gallen,Software / Data Engineer interface and reports (100% / m / w),IT
Consultant Abacus AbaBau 100% (w/m),ALL CONSULTING AG,,CH 9016 St. Gallen,N,Sankt Gallen,Consultant Abacus AbaBau 100% (w / w),IT
Consultant Abacus Finanzen 100% (m/w),ALL CONSULTING AG,,CH 9016 St. Gallen,N,Sankt Gallen,Consultant Abacus Finance 100% (w / w),IT
ERP-Project Manager,Alpha Solutions AG,,CH 9016 St. Gallen,N,Sankt Gallen,ERP Project Manager,IT
Junior Software Developer,Alpha Solutions AG,,CH 9016 St. Gallen,N,Sankt Gallen,Junior Software Developer,IT
Senior Consultant Abacus AbaProject / Abea 100% (w/m),ALL CONSULTING AG,,CH 9016 St. Gallen,N,Sankt Gallen,Senior Consultant Abacus AbaProject / Abea 100% (w / w),IT
Senior Software Engineer,Alpha Solutions AG,,CH 9016 St. Gallen,N,Sankt Gallen,Senior Software Engineer,IT
Software Engineer m/w,Intellion AG,,CH 9016 St. Gallen,N,Sankt Gallen,Software Engineer m / f,IT
"SoftwareentwicklerIn FH Elektromobilität (80-100%, m/w)",Durot Electric GmbH,,CH 9016 St. Gallen,N,Sankt Gallen,"Software Developer FH electric mobility (80-100%, m / w)",IT
Full Stack Web Developer (80-100%),Webstobe GmbH,,CH 9050 Appenzell,N,Appenzell Innerrhoden,Full Stack Web Developer (80-100%),IT
Senior Software Engineer (m/w),,,CH 9050 Appenzell,N,Appenzell Innerrhoden,Senior Software Engineer (m / f),IT
Werkstudent Softwareentwicklung (m/w) (Pensum nach Absprache),,,CH 9053 Teufen,N,Appenzell Ausserrhoden,Werkstudent Software Development (m / w) (workload on agreement),IT
"Software Engineer (Ruby on Rails/JS) (m/w, 100%)",,,CH 9053 Teufen AR,N,Appenzell Ausserrhoden,"Software Engineer (Ruby on Rails / JS) (m / w, 100%)",IT
Frontend Developer / Web Developer 80-100% (m/w),,,CH 9100 Herisau,N,Appenzell Ausserrhoden,Frontend Developer / Web Developer 80-100% (w / w),IT
Java / Web Developer 80-100% (m/w),,,CH 9100 Herisau,N,Appenzell Ausserrhoden,Java / Web Developer 80-100% (w / w),IT
PHP-Programmierer,,,CH 9100 Herisau,N,Appenzell Ausserrhoden,PHP Programmer,IT
Senior Java / Web Developer 80-100% (m/w),,,CH 9100 Herisau,N,Appenzell Ausserrhoden,Senior Java / Web Developer 80-100% (w / w),IT
Software Developer Java / Integration 80-100% (m/w),,,CH 9100 Herisau,N,Appenzell Ausserrhoden,Software Developer Java / integration 80-100% (w / w),IT
Touristische Produkt- & Dienstleistungs-Entwicklung (80-100%),,,CH 9100 Herisau,N,Appenzell Ausserrhoden,Tourist Product and service development (80-100%),IT
ICT-Fachmann/Fachfrau EFZ,AR Informatik AG,,CH 9102 Herisau,N,Appenzell Ausserrhoden,ICT specialist / specialist EFZ,IT
Informatiker / Netzwerktechniker (m/w),,,CH 9200 Gossau,N,Sankt Gallen,Computer / network engineers (m / f),IT
Webcrack - Webentwickler/in - Webdesigner/in 60-100%,,,CH 9220 Bischofszell,N,Thurgau,Webcrack - Web Developer / in - Web designer / in 60-100%,IT
Entwicklungsingenieur,Büchi Labortechnik AG,,CH 9230 Flawil,N,Sankt Gallen,development engineer,IT
Internship Data Science,Büchi Labortechnik AG,,CH 9230 Flawil,N,Sankt Gallen,Internship data science,IT
Senior Software Entwickler,Büchi Labortechnik AG,,CH 9230 Flawil,N,Sankt Gallen,Senior Software Developer,IT
Ausbildung zum/-r Java Software-Entwickler/-in,Abacus Research AG,,CH 9300 Wittenbach,N,Sankt Gallen,Training to / r Java Software Developer / -in,IT
Senior Software Engineer mit fachlicher Verantwortung (m/w),Abacus Research AG,,CH 9300 Wittenbach,N,Sankt Gallen,Senior Software Engineer with professional responsibility (m / f),IT
Software Application Engineer,Abacus Research AG,,CH 9300 Wittenbach,N,Sankt Gallen,Software Application Engineer,IT
Software Application Engineer Electronic Banking,Abacus Research AG,,CH 9300 Wittenbach,N,Sankt Gallen,Software Application Engineer Electronic Banking,IT
Software Application Engineer für das Programm Produktionsplanung und- steuerung,Abacus Research AG,,CH 9300 Wittenbach,N,Sankt Gallen,Software Application Engineer and- for the program production planning control,IT
Software Application Engineer Lohnbuchhaltung,Abacus Research AG,,CH 9300 Wittenbach,N,Sankt Gallen,Software Application Engineer payroll,IT
Software Berater/in für das Programm Leistungs-/Projektabrechnung,Abacus Research AG,,CH 9300 Wittenbach,N,Sankt Gallen,Software Consultant / in for the program service / project management,IT
Software Berater/in für das Programm Liegenschaftsbewirtschaftung (AbaImmo),Abacus Research AG,,CH 9300 Wittenbach,N,Sankt Gallen,Software Consultant / in the program property management (AbaImmo),IT
Software Berater/in für die Programme Finanz- und Anlagebuchhaltung,Abacus Research AG,,CH 9300 Wittenbach,N,Sankt Gallen,Software Consultant / in for the programs financial and asset accounting,IT
Software Berater/in Lohnbuchhaltung/HR,Abacus Research AG,,CH 9300 Wittenbach,N,Sankt Gallen,Software Consultant / in payroll / HR,IT
Software Engineer AbaNinja,Abacus Research AG,,CH 9300 Wittenbach,N,Sankt Gallen,Software Engineer AbaNinja,IT
Engineer Data Analytics (m/w),,,CH 9320 Arbon,N,Thurgau,Engineer Data Analytics (m / f),IT
Senior Engineer Data Analytics (m/w),,,CH 9320 Arbon,N,Thurgau,Senior Engineer Data Analytics (m / f),IT
Senior System Engineer Linux / Converged Technologien (m/w),,,CH 9320 Arbon,N,Thurgau,Senior System Engineer Linux / Converged Technologies (m / f),IT
2-Jahres Praktikum als Informatiker Fachrichtung Systemtechnik ab August 2020,Variosystems AG,,CH 9323 Steinach,N,Sankt Gallen,2-year internship as a computer scientist specializing in systems engineering from August 2020,IT
Lehrstelle als Informatiker/in EFZ Fachrichtung Systemtechnik,Variosystems AG,,CH 9323 Steinach,N,Sankt Gallen,Apprenticeship as / in EFZ specializing in systems engineering,IT
Mitarbeiter IT-Infrastructure (m/w),Hügli Nährmittel AG,,CH 9323 Steinach,N,Sankt Gallen,Staff IT Infrastructure (m / w),IT
Entwicklungsingenieur Membrantechnologie (m/w),Sefar AG,,CH 9410 Heiden,N,Appenzell Ausserrhoden,Development engineer membrane technology (m / f),IT
Software-Entwickler (m/w),,,CH 9422 Staad SG,N,Sankt Gallen,Software Developer (m / f),IT
WEB DEVELOPER (m/w),,,CH 9424 Rheineck,N,Sankt Gallen,WEB DEVELOPER (m / w),IT
Hardware/Software Engineer (m/w),,,CH 9435 Heerbrugg,N,Sankt Gallen,Hardware / Software Engineer (m / f),IT
Software Engineer C++ Embedded (m/w),,,CH 9435 Heerbrugg,N,Sankt Gallen,Software Engineer C ++ Embedded (m / f),IT
Software Engineer for Metrology Sensors (f/m),,,CH 9435 Heerbrugg,N,Sankt Gallen,Software Engineer for Metrology sensor (f / m),IT
Informatik-Netzwerktechniker,,,CH 9443 Widnau,N,Sankt Gallen,Computer science network technician,IT
Wirtschaftsinformatiker für strategisches Datenmanagement (m/w),Coltène/Whaledent AG,,CH 9450 Altstätten,N,Sankt Gallen,Business data for strategic data management (m / f),IT
Ferienpraktikant Stammdatenpflege (w/m) 80-100%,,,CH 9451 Kriessern,N,Sankt Gallen,Self Intern master data maintenance (w / w) 80-100%,IT
Software-Entwickler C#.NET (m/w),,,CH 9451 Kriessern,N,Sankt Gallen,Software Developer C # .NET (m / w),IT
"ECM-Softwareentwickler/in, Oberriet (Schweiz)",,,CH 9463 Oberriet,N,Sankt Gallen,"ECM software developer / in, Oberriet (Switzerland)",IT
Entwicklungsingenieur für Leistungselektronik in der E-Mobilität (m/w/d),BRUSA Elektronik AG,,CH 9466 Sennwald,N,Sankt Gallen,A development engineer for power electronics in the e-Mobility (m / h / d),IT
Entwicklungsingenieur Mechanik (m/w/d),BRUSA Elektronik AG,,CH 9466 Sennwald,N,Sankt Gallen,Mechanical Engineer (m / w / d),IT
Functional Safety Engineer nach ISO 26262 (m/w/d),BRUSA Elektronik AG,,CH 9466 Sennwald,N,Sankt Gallen,Functional Safety Engineer according to ISO 26262 (w / m / d),IT
Functional Safety Engineer nach ISO 26262 (m/w/d),BRUSA Elektronik AG,,CH 9466 Sennwald,N,Sankt Gallen,Functional Safety Engineer according to ISO 26262 (w / m / d),IT
Senior Embedded Hardware Engineer (m/w/d),BRUSA Elektronik AG,,CH 9466 Sennwald,N,Sankt Gallen,Senior Embedded Hardware Engineer (m / w / d),IT
Senior Entwicklungsingenieur Leistungselektronik (m/w/d),BRUSA Elektronik AG,,CH 9466 Sennwald,N,Sankt Gallen,Senior Engineer power electronics (m / w / d),IT
Software Architekt (m/w/d),BRUSA Elektronik AG,,CH 9466 Sennwald,N,Sankt Gallen,Software architect (m / w / d),IT
Softwareingenieur für Technologieentwicklung im Bereich Embedded Systems (m/w/d),BRUSA Elektronik AG,,CH 9466 Sennwald,N,Sankt Gallen,Software engineer for development of technology in the field of embedded systems (f / m / d),IT
Testmanager im Bereich Automotive (m/w/d),BRUSA Elektronik AG,,CH 9466 Sennwald,N,Sankt Gallen,Test Manager in the automotive field (f / m / d),IT
Frontend Developer,2sic Internet Solutions GmbH,,CH 9470 Buchs,N,Sankt Gallen,frontend Developer,IT
Senior Software-Entwickler m/w (Teilzeit möglich),Solve GmbH,,CH 9470 Buchs,N,Sankt Gallen,Senior Software Developer m / w (Part-time possible),IT
"Senior Web / JavaScript Developer (m/w, 100%)",2sic Internet Solutions GmbH,,CH 9470 Buchs,N,Sankt Gallen,"Senior Web / Javascript Developer (m / w, 100%)",IT
Senior Webentwickler m/w,Solve GmbH,,CH 9470 Buchs,N,Sankt Gallen,Senior Web Developer m / f,IT
"Web Developer(m/w, 100%) gesucht",2sic Internet Solutions GmbH,,CH 9470 Buchs,N,Sankt Gallen,"Web Developer (m / w, 100%) wanted",IT
Junior Consultant (Business Intelligence),,,CH 9470 Buchs SG,N,Sankt Gallen,Junior Consultant (Business Intelligence),IT
Praktikum Interactive Media Designer 100% (m/w),,,CH 9470 Buchs SG,N,Sankt Gallen,Internship Interactive Media Designer 100% (w / w),IT
Senior Consultant (Business Intelligence),,,CH 9470 Buchs SG,N,Sankt Gallen,Senior Consultant (Business Intelligence),IT
Senior Consultant (IT Project Management),,,CH 9470 Buchs SG,N,Sankt Gallen,Senior Consultant (IT Project Management),IT
Web-Entwickler 100% (m/w),,,CH 9470 Buchs SG,N,Sankt Gallen,Web developers 100% (w / w),IT
System- und Netzwerkadministrator,,,CH 9471 Buchs SG,N,Sankt Gallen,System and Network Administrator,IT
Software - Entwickler (.net / Delphi / SQL) / 100%,,,CH 9472 Grabs,N,Sankt Gallen,Software - Developer (.NET / Delphi / SQL) / 100%,IT
Software Entwickler .NET (m/w),Online Consulting AG,,CH 9500 Wil,N,Sankt Gallen,Software Developer .NET (m / w),IT
Software-Entwickler .NET / Industrie 4.0,,,CH 9500 Wil,N,Sankt Gallen,Software Developer .NET / Industry 4.0,IT
"Software-Entwickler/in Java, Docker & Cloud",,,CH 9500 Wil,N,Sankt Gallen,"Software Developer / Java, Docker & Cloud",IT
Web-Applikationsentwickler/in,,,CH 9500 Wil,N,Sankt Gallen,Web application developer / in,IT
Sales Development Representative (m/w/d) in Köln - Vollzeit,,,CH 9500 Wil SG,N,Sankt Gallen,Sales Development Representative (m / w / d) in Cologne - full-time,IT
Informatiker,,,CH 9545 Wängi,N,Thurgau,computer scientist,IT
Application Manager (m/w/ ) Leit und Echtzeitsysteme 100 %,ATRON Systems AG,,CH 9552 Bronschhofen,N,Sankt Gallen,Application Manager (m / f /) Leit and real-time systems 100%,IT
Entwicklungsingenieur Mechanik FH (m/w),CEKAtec AG,,CH 9630 Wattwil,N,Sankt Gallen,Mechanical Engineer FH (m / w),IT
Software Entwickler (m/w/d) im Bereich Natural Langugage Pipeline,3M (Schweiz) GmbH,,"CH, Kreuzlingen, Thurgau",N,Thurgau,Software developers (m / w / d) in the range Natural pipeline langugage,IT
ERP Specialist 100%,QMEDICS AG,,Flurlingen,N,Zurich,ERP Specialist 100%,IT
ERP Spezialist 100%,QMEDICS AG,,Flurlingen,N,Zurich,ERP Specialist 100%,IT
3D Artist (m/w/d),,,Frauenfeld,N,Thurgau,3D Artist (m / w / d),IT
Applikationsingenieur für Automatisierung / Vision (m/w),B&R Industrie-Automation AG,,Frauenfeld,N,Thurgau,Application Engineer for Automation / Vision (m / f),IT
CIO Assistent/in,,,Frauenfeld,N,Thurgau,CIO assistant / in,IT
Entwicklungsingenieur Hardware (m/w/d),,,Frauenfeld,N,Thurgau,Hardware Engineer (m / w / d),IT
Full-Stack-Entwickler (m/w),B&R Industrie-Automation AG,,Frauenfeld,N,Thurgau,Full-Stack Developer (m / f),IT
Web Developer (m/w),B&R Industrie-Automation AG,,Frauenfeld,N,Thurgau,Web Developer (m / f),IT
Mediamatiker/Systemtechniker m/w 100%,Root-Service AG,,Frauenfeld/Thurgau,N,Thurgau,Mediamatiker / System technician m / w 100%,IT
Business Application Manager (m/w),Glarner Kantonalbank,,Glarus,N,Glarus,Business Application Manager (m / f),IT
Data Scientist (m/w),Glarner Kantonalbank,,Glarus,N,Glarus,Data Scientist (m / f),IT
Digital Solution Architect (w/m),Pius Schäfler AG,,Gossau,N,Sankt Gallen,Digital Solution Architect (f / m),IT
Informatiker EFZ | Systemtechniker (m/w),Blumer Lehmann AG,,Gossau,N,Sankt Gallen,Computer EFZ | System (m / w),IT
Software Engineer (m/w/d),Migros-Genossenschafts-Bund,,Gossau,N,Sankt Gallen,Software Engineer (m / w / d),IT
C++ Software Engineer (f/m),Leica Geosystems AG,,Heerbrugg,N,Sankt Gallen,C ++ software engineer (f / m),IT
C++ Software Engineer (f/m) for High End Surveying Solutions,Leica Geosystems AG,,Heerbrugg,N,Sankt Gallen,C ++ Software Engineer (f / m) for High End Surveying Solutions,IT
Computer Vision Expert C++ (f/m),Leica Geosystems AG,,Heerbrugg,N,Sankt Gallen,Computer Vision Expert C ++ (f / m),IT
Data Scientist (f/m),Hexagon Technology Center GmbH,,Heerbrugg,N,Sankt Gallen,Data Scientist (f / m),IT
Entwicklungsingenieur (m/w) für opto-mechanische Systeme,Leica Geosystems AG,,Heerbrugg,N,Sankt Gallen,Engineer (m / w) for opto-mechanical systems,IT
Intern (m/f/d) Software Development,Leica Geosystems AG,,Heerbrugg,N,Sankt Gallen,Intern (m / f / d) Software Development,IT
Mobile Software Engineer (m/f/d),Leica Geosystems AG,,Heerbrugg,N,Sankt Gallen,Mobile Software Engineer (m / f / d),IT
Praktikum / Internship Software Engineering / Informatik,Leica Geosystems AG,,Heerbrugg,N,Sankt Gallen,Internship / Internship Software Engineering / computer science,IT
Projekt Manager (w/m) Software,Leica Geosystems AG,,Heerbrugg,N,Sankt Gallen,Project Manager (m / f) Software,IT
SAP Application Engineer (w/m) mit Fokus auf SD/CS,Leica Geosystems AG,,Heerbrugg,N,Sankt Gallen,SAP Application Engineer (m / f) with focus on SD / CS,IT
SAP Berechtigungsspezialist (m/w),,,Heerbrugg,N,Sankt Gallen,SAP authorization (m / w),IT
SAP Modulbetreuer Bereich SD/CRM (m/w),,,Heerbrugg,N,Sankt Gallen,SAP Modulbetreuer area SD / CRM (m / w),IT
Software Engineer (f/m) for Machine Control,Leica Geosystems AG,,Heerbrugg,N,Sankt Gallen,Software Engineer (f / m) for Machine Control,IT
System Engineer/SAP Basis (m/w),,,Heerbrugg,N,Sankt Gallen,System Engineer / SAP Basis (m / w),IT
Global ICT Engineer (m/w),Metrohm AG,,Herisau,N,Appenzell Ausserrhoden,Global ICT Engineer (m / f),IT
ICT System Engineer (m/w),Schweizerische Südostbahn AG,,Herisau,N,Appenzell Ausserrhoden,ICT System Engineer (m / f),IT
Junior Software Entwickler (w/m) 80-100%,GEOINFO AG,,Herisau,N,Appenzell Ausserrhoden,Junior Software Developer (f / m) 80-100%,IT
Linux Systemadministrator (w/m) 80-100%,GEOINFO AG,,Herisau,N,Appenzell Ausserrhoden,Linux System Administrator (m / w) 80-100%,IT
RF Development Engineer (12 months),Huber+Suhner AG,,Herisau,N,Appenzell Ausserrhoden,RF Development Engineer (12 months),IT
IT Security Analyst/Penetration Tester (m/w),,,Jona,N,Sankt Gallen,IT Security Analyst / Penetration Tester (m / f),IT
Business Application Specialist ERP und CRM 100% (m/w),Ifolor AG,,Kreuzlingen,N,Thurgau,Business Application Specialist ERP and CRM 100% (w / w),IT
Inhouse Consultant SAP BW/BO (d/m/w),Strellson AG,,Kreuzlingen,N,Thurgau,House consultant SAP BW / BO (d / m / f),IT
IT Services Supporter (d/m/w),Strellson AG,,Kreuzlingen,N,Thurgau,IT Services Supporter (d / m / w),IT
RoR - Ruby on Rails Entwickler (w/m) in Teilzeit oder Vollzeit.,IWAG Distribution AG,,Kreuzlingen,N,Thurgau,RoR - Ruby on Rails Developer (f / m) in part-time or full-time.,IT
SAP Developer ABAP (d/m/w),Strellson AG,,Kreuzlingen,N,Thurgau,SAP Developer ABAP (d / m / f),IT
Software Entwickler C# m/w 80-100%,Securiton AG,,Mels,N,Sankt Gallen,Software Developer C # m / f 80-100%,IT
SAP Authorizations & Security Consultant,Dipl. Ing. Fust AG,,Oberbüren,N,Sankt Gallen,SAP Authorizations & Security Consultant,IT
Senior Inhouse Consultant SD/ CS,Dipl. Ing. Fust AG,,Oberbüren SG,N,Sankt Gallen,Senior Inhouse Consultant SD / CS,IT
PHP or Full-Stack Developer (m/f),bexio AG,,Rapperswil,N,Sankt Gallen,PHP or full-stack Developer (m / f),IT
UX Designer 80 - 100%,bexio AG,,Rapperswil,N,Sankt Gallen,UX Designer 80-100%,IT
Systemtechniker als Kundenbetreuer (Nr. 200),Trio Personal E. Stevanin GmbH,,Raum Wil,N,Sankt Gallen,System technician as customer service (no. 200),IT
Frontend Developer (m/w),Consult & Pepper AG,,Region Ostschweiz,Y,Multiple,Frontend Developer (m / f),IT
Professional Software Developer (m/w),Consult & Pepper AG,,Region Ostschweiz,Y,Multiple,Professional Software Developer (m / f),IT
Senior Software Engineer mit fachlicher Verantwortung (m/w),Consult & Pepper AG,,Region Ostschweiz,Y,Multiple,Senior Software Engineer with professional responsibility (m / f),IT
Hardware EntwicklerIn VHDL/FPGA 80-100%,Novotec Engineering AG,,Region Zürich,N,Zurich,Hardware EntwicklerIn VHDL / FPGA 80-100%,IT
Java Software Engineer 80-100%,Novotec Engineering AG,,Region Zürich,N,Zurich,Java Software Engineer 80-100%,IT
Consultant SAP HCM / Payroll (w/m/d),HR Campus AG,,Region Zürich / Schaffhausen,N,Schaffhausen,Consultant SAP HCM / Payroll (w / m / d),IT
Consultant SAP Time Management (w/m/d),HR Campus AG,,Region Zürich / Schaffhausen,N,Schaffhausen,Consultant SAP Time Management (w / m / d),IT
Junior SAP Payroll Consultant (m/w/d),HR Campus AG,,Region Zürich / Schaffhausen,N,Schaffhausen,Junior SAP Payroll Consultant (m / w / d),IT
Payroll SAP Specialist in Shared Services Center (w/m/d),HR Campus AG,,Region Zürich / Schaffhausen,N,Schaffhausen,Payroll SAP Specialist in Shared Services Center (w / m / d),IT
"Entwicklungsingenieur (FH / ETH) Maschinenbau, Systemtechnik",,,Rorschach,N,Sankt Gallen,"Engineer (FH / ETH) Machine, Systems Technology",IT
Application Developer Java (m/w/d),,,Sankt Gallen,N,Sankt Gallen,Application Developer Java (m / w / d),IT
Application Developer PHP (m/w/d),,,Sankt Gallen,N,Sankt Gallen,Application Developer PHP (m / w / d),IT
Full Stack Developer (m/w/d),,,Sankt Gallen,N,Sankt Gallen,Full Stack Developer (m / w / d),IT
SAP ERP Consultant (m/w/d),,,Sankt Gallen,N,Sankt Gallen,SAP ERP Consultant (m / w / d),IT
Senior Frontend Engineer (m/w/d),,,Sankt Gallen,N,Sankt Gallen,Senior Engineer front end (f / m / d),IT
IT Software Specialist - Systembetreuung / IT-Support 100%%,ALDI SUISSE AG,,Schwarzenbach,N,Zurich,IT Software Specialist - System Support / IT support 100 %%,IT
IT Spezialist Hardware & Systems 100%%,ALDI SUISSE AG,,Schwarzenbach,N,Zurich,IT specialist Hardware & Systems 100 %%,IT
Applikations-Entwickler Junior (m/w) in St. Gallen,INFOGATE AG,,St. Gallen,N,Sankt Gallen,Application developers Junior (m / w) in St. Gallen,IT
Applikationsmanager Digital Government (m/w) ab 80%,Abraxas Informatik AG,,St. Gallen,N,Sankt Gallen,Application Manager Digital Government (m / w) 80%,IT
Frontend Developer / Engineer in St. Gallen (m/w),Adcubum AG,,St. Gallen,N,Sankt Gallen,Frontend Developer / Engineer in St. Gallen (m / f),IT
Frontend Engineer (m/w),Abraxas Informatik AG,,St. Gallen,N,Sankt Gallen,Frontend Engineer (m / f),IT
Java Senior Software Engineer 80-100% - St. Gallen,Adcubum AG,,St. Gallen,N,Sankt Gallen,Java Senior Software Engineer 80-100% - St. Gallen,IT
Java Senior Software Engineer 80-100% - St. Gallen,Adcubum AG,,St. Gallen,N,Sankt Gallen,Java Senior Software Engineer 80-100% - St. Gallen,IT
Java Software Engineer im Bereich In-/Exkasso,Adcubum AG,,St. Gallen,N,Sankt Gallen,Java Software Engineer in the collection / disbursement,IT
Java Software Engineer im Bereich In-/Exkasso,Adcubum AG,,St. Gallen,N,Sankt Gallen,Java Software Engineer in the collection / disbursement,IT
Java Software Engineer im Bereich In-/Exkasso,Adcubum AG,,St. Gallen,N,Sankt Gallen,Java Software Engineer in the collection / disbursement,IT
Java Software Engineer in St. Gallen,Adcubum AG,,St. Gallen,N,Sankt Gallen,Java Software Engineer in St. Gallen,IT
Java Software Engineer in St. Gallen,Adcubum AG,,St. Gallen,N,Sankt Gallen,Java Software Engineer in St. Gallen,IT
Junior SAP Basis Administrator,UMB AG,,St. Gallen,N,Sankt Gallen,Junior SAP Basis Administrator,IT
Lehrperson für die Grundbildung Informatiker/in EFZ in St. Gallen,,,St. Gallen,N,Sankt Gallen,Teachers for basic education Computer / EFZ in St. Gallen,IT
Praktikant Software Engineering . 6+ Monate.,Namics AG,,St. Gallen,N,Sankt Gallen,Intern Software Engineering. 6+ months.,IT
Schnupperlehren als Informatiker/in,Abraxas Informatik AG,,St. Gallen,N,Sankt Gallen,Trial apprenticeships as a computer scientist / in,IT
Senior Berater (m/w/d) Finance-Software,GUS Schweiz AG,,St. Gallen,N,Sankt Gallen,Senior Consultant (m / w / d) Finance Software,IT
Senior Java Software Engineer,Adcubum AG,,St. Gallen,N,Sankt Gallen,Senior Java Software Engineer,IT
Senior Java Software Engineer,Adcubum AG,,St. Gallen,N,Sankt Gallen,Senior Java Software Engineer,IT
Software Engineer Avaloq (Fokus Anlegen) 80 - 100% (w/m),St.Galler Kantonalbank,,St. Gallen,N,Sankt Gallen,Avaloq Software Engineer (Focus Create) from 80 to 100% (w / w),IT
Software Engineer Java . 80-100%.,Namics AG,,St. Gallen,N,Sankt Gallen,Software Engineer Java. 80-100%.,IT
Software Engineer. Berufseinsteiger . 80-100%.,Namics AG,,St. Gallen,N,Sankt Gallen,Software Engineer. Young professionals. 80-100%.,IT
Solution Architekt (m/w),Abraxas Informatik AG,,St. Gallen,N,Sankt Gallen,Solution Architect (m / f),IT
System- und Application / DevOps Engineer - St. Gallen,Adcubum AG,,St. Gallen,N,Sankt Gallen,System and application / DevOps Engineer - St. Gallen,IT
UX Lead / Principal Experience Designer . 80-100%.,Namics AG,,St. Gallen,N,Sankt Gallen,UX Lead / Principal experience designers. 80-100%.,IT
Frontend-Entwickler (m/w),,,St.Gallen,N,Sankt Gallen,Frontend Developer (m / f),IT
Software Engineer Java*. 80-100%.,Namics AG,,St.Gallen,N,Sankt Gallen,Software Engineer Java *. 80-100%.,IT
SPS Software Entwicklungsingenieur (w/m/d) 100%,Freestar-People AG,,St.Gallen Rheintal,N,Sankt Gallen,PLC software development engineer (w / m / d) 100%,IT
Senior Spezialist/in Informationssicherheit,Thurgauer Kantonalbank,,Weinfelden,N,Thurgau,Senior Specialist / in Information Security,IT
Software Engineer Java (w/m),dormakaba Schweiz AG,,Wetzikon,N,Zurich,Software Engineer Java (w / m),IT
Software Entwickler/in im Mobile Umfeld 100% (w/m),dormakaba Schweiz AG,,Wetzikon,N,Zurich,Software Developer / in the Mobile environment 100% (w / w),IT
Testmanager/in 100% (w/m),dormakaba Schweiz AG,,Wetzikon,N,Zurich,Test Manager / in 100% (w / m),IT
